Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,EducationOrdinalEncoded,Relationship_InRelationship,Relationship_NotInRelationship,Relationship_Undefined,ChildrenHome,RegencyInMonths,TotalSpent,DealSeeker,BuyerType_CatalogueBuyer,BuyerType_MixedBuyer,BuyerType_StoreBuyer,BuyerType_WebBuyer,VisitedWebsiteRecently,AcceptedOffer
58138,58,635,88,546,172,88,88,3,8,10,4,7,57,2,0,1,0,0,32,1617,1,1,0,0,0,1,1
46344,38,11,1,6,2,1,6,2,1,1,2,5,60,2,0,1,0,1,5,27,0,0,0,1,0,1,0
71613,26,426,49,127,111,21,42,1,8,2,10,4,49,2,1,0,0,0,16,776,0,0,0,1,0,1,0
26646,26,11,4,20,10,3,5,2,2,0,4,6,30,2,1,0,0,1,3,53,0,0,0,1,0,1,0
58293,94,173,43,118,46,27,15,5,5,3,6,5,33,5,1,0,0,1,11,422,1,0,0,1,0,1,0
62513,16,520,42,98,0,42,14,2,6,4,10,6,47,4,1,0,0,1,15,716,0,0,0,1,0,1,0
55635,34,235,65,164,50,49,27,4,7,3,7,6,43,2,0,1,0,1,25,590,1,0,1,0,0,1,0
33454,32,76,10,56,3,1,23,2,4,0,4,8,29,5,1,0,0,1,17,169,0,0,1,0,0,1,0
30351,19,14,0,24,3,3,2,1,3,0,2,9,40,5,1,0,0,1,19,46,0,0,0,0,1,1,1
5648,68,28,0,6,1,1,13,1,1,0,0,20,64,5,1,0,0,1,9,49,0,0,0,0,1,1,1
52028,11,5,5,6,0,2,1,1,1,0,2,7,31,2,1,0,0,1,13,19,0,0,0,1,0,1,0
7500,59,6,16,11,11,1,16,1,2,0,3,8,38,1,1,0,0,0,25,61,0,0,0,1,0,1,0
63033,82,194,61,480,225,112,30,1,3,4,8,2,55,2,0,1,0,0,13,1102,0,0,0,1,0,1,0
